segmento,timestamp,download_time_s,jitter_s,qualidade,bitrate_kbps,throughput_kbps,vazao_media_kbps,buffer_s,buffer_can_play,rebuffer_total_s
1,2026-06-23T22:49:53,0.6336,0.0,1080p,1200,1893.94,1893.94,11.37,1,0.0
2,2026-06-23T22:49:55,0.591,42.5858,1080p,1200,2030.41,1962.17,14.78,1,0.0
3,2026-06-23T22:49:55,0.6012,10.1986,1080p,1200,1995.96,1973.44,18.17,1,0.0
4,2026-06-23T22:49:56,0.5916,9.6343,1080p,1200,2028.47,1987.19,21.58,1,0.0
5,2026-06-23T22:49:57,0.5524,39.155,1080p,1200,2172.24,2024.2,25.03,1,0.0
6,2026-06-23T22:49:58,0.4644,88.0549,1080p,1200,2584.15,2162.25,28.57,1,0.0
7,2026-06-23T22:49:59,0.5904,126.0126,1080p,1200,2032.58,2162.68,31.98,1,0.0
8,2026-06-23T22:50:00,0.5907,0.3176,1080p,1200,2031.49,2169.79,35.38,1,0.0
9,2026-06-23T22:50:01,0.5256,65.1114,1080p,1200,2283.16,2220.73,38.86,1,0.0
10,2026-06-23T22:50:02,0.4915,34.1167,1080p,1200,2441.65,2274.61,42.37,1,0.0
11,2026-06-23T22:50:03,0.5023,10.8676,1080p,1200,2388.83,2235.54,45.87,1,0.0
12,2026-06-23T22:50:04,0.5384,36.1109,1080p,1200,2228.62,2274.75,49.33,1,0.0
13,2026-06-23T22:50:05,0.5561,17.6346,1080p,1200,2157.95,2300.04,52.77,1,0.0
14,2026-06-23T22:50:06,0.4996,56.5183,1080p,1200,2402.09,2323.83,56.27,1,0.0
15,2026-06-23T22:50:07,0.4951,4.4446,1080p,1200,2423.65,2320.23,59.78,1,0.0
16,2026-06-23T22:50:08,0.5417,46.5312,1080p,1200,2215.44,2285.55,63.23,1,0.0
17,2026-06-23T22:50:09,0.5352,6.4874,1080p,1200,2242.3,2288.28,66.7,1,0.0
18,2026-06-23T22:50:10,0.5905,55.3074,1080p,1200,2032.27,2263.15,70.11,1,0.0
19,2026-06-23T22:50:11,0.4766,113.893,1080p,1200,2517.94,2286.32,73.63,1,0.0
20,2026-06-23T22:50:12,0.4705,6.0821,1080p,1200,2550.49,2311.69,77.16,1,0.0
