segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T22:50:45,A,1080p,1200,2030.4572169682738,0.591,null,null,2.0,0,1,0.9578018188476562,0
2,2026-06-23T22:50:46,A,1080p,1200,2029.7651905545029,0.5912,null,null,4.0,1,1,0.9730966091156006,0
3,2026-06-23T22:50:47,A,1080p,1200,1952.602939314081,0.6146,null,null,4.978745222091675,1,0,0.0,0
4,2026-06-23T22:50:48,A,1080p,1200,2030.075099058404,0.5911,null,null,5.995235443115234,1,0,0.0,0
5,2026-06-23T22:50:49,A,1080p,1200,2032.5081728423836,0.5904,null,null,6.9899396896362305,1,0,0.0,0
6,2026-06-23T22:50:50,A,1080p,1200,2029.7448588221803,0.5912,null,null,8.001380205154419,1,0,0.0,0
7,2026-06-23T22:50:51,A,1080p,1200,2030.8120559094782,0.5909,null,null,9.002113103866577,1,0,0.0,0
8,2026-06-23T22:50:52,A,1080p,1200,2030.0731380540653,0.5911,null,null,10.001401424407959,1,0,0.0,0
9,2026-06-23T22:50:53,A,1080p,1200,2031.4848528736902,0.5907,null,null,11.001866340637207,1,0,0.0,0
10,2026-06-23T22:50:54,srv-B,1080p,1200,1008.9005585616995,1.1894,null,null,11.363247394561768,1,0,0.0,1
11,2026-06-23T22:50:55,A,1080p,1200,2031.2301672057245,0.5908,null,null,12.390822649002075,1,0,0.0,1
12,2026-06-23T22:50:56,A,1080p,1200,2027.0241611150082,0.592,null,null,13.380483388900757,1,0,0.0,1
13,2026-06-23T22:50:57,A,1080p,1200,2413.533876733272,0.4972,null,null,14.401831150054932,1,0,0.0,1
14,2026-06-23T22:50:58,A,1080p,1200,2463.8002857940405,0.4871,null,null,15.393400192260742,1,0,0.0,1
15,2026-06-23T22:50:59,A,1080p,1200,2623.220544082414,0.4575,null,null,16.391696214675903,1,0,0.0,1
16,2026-06-23T22:51:00,A,1080p,1200,2250.903112975627,0.5331,null,null,17.39661741256714,1,0,0.0,1
17,2026-06-23T22:51:01,A,1080p,1200,2031.8076094921921,0.5906,null,null,18.398722887039185,1,0,0.0,1
18,2026-06-23T22:51:03,A,1080p,1200,2031.9585802035454,0.5906,null,null,18.3180251121521,1,0,0.0,1
19,2026-06-23T22:51:04,A,1080p,1200,2029.9508214308496,0.5911,null,null,19.320310831069946,1,0,0.0,1
20,2026-06-23T22:51:05,A,1080p,1200,2028.4619205575734,0.5916,null,null,20.303829193115234,1,0,0.0,1
